the,その
lipoprotein,脂質蛋白
understandably,理解できるように
treasurer,会計係
pail,バケツ
creatinine,クレアチニン
deductive,演繹的な
forgery,偽造
mire,泥沼
crucifixion,磔刑
characteristically,特徴的に
belligerent,好戦的な
wholeheartedly,心から
admonition,忠告
centrifugal,遠心の
incompatibility,不適合
objectionable,好ましくない
devilish,悪魔のような
judicious,賢明な
unfairly,不公平に
jeep,ジープ
intimidate,脅す
hypersensitivity,過敏症
enclose,囲む
inaugural,就任の
mermaid,人魚
glamorous,魅力的な
inactivation,不活性化
grievous,重大な
atlas,地図帳
cynicism,皮肉
appliance,器具
comprehensively,包括的に
hyperbolic,誇張的な
ver,非常に（スペイン語由来）
scanty,不足した
biliary,胆汁の
reborn,生まれ変わった
cheery,陽気な
impure,不純な
cubicle,小部屋
bandit,山賊
unsupervised,監督なしの
homely,地味な|家庭的な
escalate,エスカレートする
disintegrate,崩壊する
computerize,コンピュータ化する
nape,うなじ
forego,先に行う|断念する
fanatic,熱狂者
breathlessly,息をのんで
septic,感染性の
morsel,一口
androgen,男性ホルモン
booty,戦利品
deconstruct,解体する
peritoneal,腹膜の
cyclone,サイクロン|台風
handicap,障害
honorary,名誉の
umbilical,臍の
gunpowder,火薬
predictability,予測可能性
algorithmic,アルゴリズムの
misgiving,不安
peat,泥炭
catalyze,促進する
legislate,立法する
placid,穏やかな
ruddy,赤みがかった
tumultuous,騒々しい
cask,樽
waive,放棄する
archipelago,群島
vainly,無駄に
splint,添え木
navigator,航海士
percutaneous,経皮の
periodontal,歯周の
unhappily,不幸に
legislator,立法者
lunge,突進する
hammock,ハンモック
glycoprotein,糖タンパク質
permanence,永続性
chastity,純潔
disprove,誤りを証明する
campground,キャンプ場
ideologically,イデオロギー的に
unwind,くつろぐ
amazingly,驚くほど
antitrust,反独占の
solemnity,厳粛さ
incontinence,失禁
tortoise,カメ
garner,集める
inauguration,就任式
moderator,司会者
merrily,陽気に
staunch,忠実な
wistful,物悲しい
silicate,ケイ酸塩
allotment,割り当て
seaside,海辺
latex,ラテックス|天然ゴム
consensual,合意の上の
campfire,たき火
sleepless,眠れない
wan,青白い
indignantly,憤慨して
tummy,お腹（子供語）
magically,魔法のように
lamina,薄板|葉片
inducement,誘因
idleness,怠惰
parch,乾かす
emanate,発する
sedimentation,沈降
retrograde,逆行の
definitively,決定的に
supine,仰向けの
fide,信頼して（ラテン語由来）
incantation,呪文
sloppy,だらしない
activator,活性化因子
eradication,根絶
rigidly,厳格に
rationalization,合理化
glaucoma,緑内障
sledge,そり
ladyship,貴婦人の称号
indistinct,不明瞭な
amputation,切断
accentuate,強調する
entourage,側近
haircut,散髪
drunkenness,酩酊
popularly,一般に
pomp,豪華さ
especial,特別な
immunodeficiency,免疫不全
actin,アクチン
demarcation,境界設定
extrusion,押し出し
participle,分詞
lemma,補題
enumerate,列挙する
determinate,決定的な
antipsychotic,抗精神病薬
clover,クローバー
pacify,鎮める
ethereal,空気のような|軽い
dermal,皮膚の
upland,高地
charisma,カリスマ性
ford,浅瀬|渡河点
radiographic,X線撮影の
smallpox,天然痘
chieftain,首長
tightness,きつさ
hotly,激しく
photosynthetic,光合成の
landowner,地主
clique,派閥
flimsy,薄弱な
unbounded,無限の
mutiny,反乱
sterling,優れた|英貨ポンド
sedimentary,堆積の
indulgent,甘やかす
flawless,欠点のない
dropout,中退者
disrespectful,無礼な
joyfully,喜んで
relativism,相対主義
infra,下記の
immerse,浸す
allure,魅力
slurry,泥状のもの
jog,ジョギングする
lucid,明快な
tho,〜だけれども（口語）
incompetence,無能
motility,運動性
thong,サンダル|ビキニのT字型下着
quotient,商|比率
borough,区
bathtub,浴槽
impossibly,不可能に
detergent,洗剤
outwardly,外見上は
outcrop,露頭
gaily,陽気に
typewriter,タイプライター
bolus,一塊|ボーラス
adaptable,適応可能な
sordid,汚い
plumb,真っ直ぐな
divination,占い
deleterious,有害な
subpoena,召喚状
synthase,シンターゼ|合成酵素
retainer,使用人|保持具
extremism,過激主義
childlike,子供らしい
virulence,毒性
damsel,乙女
soot,すす
experimenter,実験者
magnetism,磁気
progesterone,プロゲステロン
paradigmatic,典型的な
plush,豪華な|ぬいぐるみ生地
extricate,解放する
departmental,部門の
hypothalamus,視床下部
sheen,光沢
stromal,間質の
balm,軟膏
contemptuous,軽蔑的な
centralization,中央集権化
divinely,神聖に
windy,風の強い
silt,シルト|堆積土砂
metro,地下鉄
classmate,クラスメート
pathologist,病理学者
troupe,劇団
waterfront,海岸地域
agar,寒天
gestational,妊娠の
annihilate,全滅させる
unfathomable,不可解な
gingerly,慎重に
fella,男（口語）
alternation,交互
mucous,粘液の
buildup,増加
restructure,再編成する
foreclosure,差し押さえ
fireman,消防士
acne,にきび
isle,島
anticancer,抗がんの
testimonial,推薦文
unintelligible,理解できない
promenade,散歩道
commercialization,商業化
failing,失敗
startle,驚かせる
photocopy,コピー
importer,輸入者
spurious,偽の
carnal,肉体の
workman,労働者
peculiarity,特異性
wither,しおれる
feces,排泄物
disquiet,不安
outspoken,率直な
rudely,失礼に
pubic,恥骨の
bacillus,桿菌
aforesaid,前述の
misstatement,誤報
vestibular,前庭の
autosomal,常染色体の
starboard,右舷の
eyesight,視力
altruism,利他主義
archer,弓兵
gaunt,やせ衰えた
elude,逃れる
apostolic,使徒の
gash,切り傷
nonspecific,非特異的な
chivalry,騎士道
reaffirm,再確認する
steppe,ステップ|草原
inescapable,避けられない
nighttime,夜間
construe,解釈する
malpractice,医療過誤
sedative,鎮静剤
aquarium,水族館
pheromone,フェロモン
sequentially,連続的に
tenuous,薄弱な
oocyte,卵母細胞
oblong,長方形の
sneaker,スニーカー
constitutionally,憲法上
workstation,作業場
transact,取引する
shaggy,もじゃもじゃの
pebble,小石
thunderstorm,雷雨
oceanic,海洋の
someplace,どこか
innermost,最も内側の
manifestly,明らかに
swivel,回転する
congregate,集まる
schoolboy,男子学生
aggrieve,苦しめる
nucleation,核形成
conductance,導電率
disarm,武装解除する
synergistic,相乗効果のある
seeker,探求者
subjection,支配
amnesia,健忘症
mage,魔法使い
resurgence,復活
boron,ホウ素
poetical,詩的な
bicarbonate,炭酸水素塩
backseat,後部座席
pharyngeal,咽頭の
discontinuous,断続的な
pollutant,汚染物質
rigorously,厳密に
bro,兄弟（口語）
correspondingly,それに応じて
invert,逆にする
teacup,ティーカップ
chaste,純潔な
pungent,刺激的な
pike,槍
glycogen,グリコーゲン
recklessly,無謀に
curate,助任牧師
diastolic,拡張期の
oneness,一体性
pathologic,病理の
panorama,全景
elliptical,楕円の
redistribute,再分配する
immediacy,即時性
polemic,論争
narcissistic,自己愛の強い
replete,満ちた
swoon,気を失う
excruciate,激しく苦しめる
unmoved,動じない
distaste,嫌悪
regenerative,再生の
aeroplane,飛行機
philanthropic,博愛の
overbear,圧倒する
adjudicate,裁定する
prune,剪定する
encroachment,侵害
curtail,短縮する
decode,解読する
cumin,クミン（香辛料）
juridical,法的な
sock,靴下
filament,繊維|フィラメント
chromosomal,染色体の
scalable,拡張可能な
unrestricted,制限のない
tranquillity,静けさ
sumptuous,豪華な
afresh,改めて
expedite,促進する
timidly,臆病に
crypt,地下室
screech,キーキーいう
arable,耕作可能な
overhear,盗み聞きする
pounce,飛びかかる
centrifuge,遠心分離機
measles,はしか
fervor,熱情
dingy,薄汚い
peacekeeping,平和維持の
sundry,種々の
photovoltaic,光起電の
warlike,好戦的な
heretofore,これまでに
herring,ニシン
gladness,喜び
salivary,唾液の
menopause,閉経
carton,カートン箱
hereinafter,以下に
repulsion,反発
coop,鶏小屋
grub,幼虫|食べ物（俗）
proponent,支持者
reformist,改革派の
lymphoid,リンパ組織の
coriander,コリアンダー|パクチー
hematoma,血腫
trepidation,恐怖
fervently,熱烈に
circadian,概日リズムの
chagrin,悔しさ
glycerol,グリセロール
chaperone,付き添い人
booster,後押しするもの
cervix,子宮頸部
technologically,技術的に
marginally,わずかに
observant,観察力のある
unchanging,不変の
incapacity,無能力
irritability,苛立ち
furry,毛皮のような
finality,最終性
ridiculously,ばかげて
frailty,虚弱
onboard,搭乗して
bookcase,本棚
dispensation,分配
mutton,羊肉
wobble,ぐらつく
forgo,断念する
unsuccessfully,失敗して
leprosy,ハンセン病
counterbalance,釣り合いをとる
secession,分離
thoroughfare,幹線道路
coronal,冠状の
agglomeration,集積
connotation,含意
constancy,不変性
inspirational,感動的な
rosemary,ローズマリー
simile,直喩
foramen,孔
deregulation,規制緩和
reductase,レダクターゼ
prologue,序文
stub,切り株|控え
darken,暗くする
beech,ブナ
bushy,茂った
crouch,しゃがむ
flounder,まごつく
antifungal,抗真菌の
nutritious,栄養のある
complacency,自己満足
expectantly,期待して
pallet,パレット
blockage,閉塞
unify,統一する
retract,引っ込める
veracity,真実性
threefold,3倍の
firearm,火器
monoxide,一酸化物
identifier,識別子
coaster,コースター
nominate,指名する
passivity,受動性
scapegoat,スケープゴート|はけ口
archway,アーチ状の通路
idealistic,理想主義の
mediocre,平凡な
roster,名簿
sphincter,括約筋
nodule,結節
friendliness,親しみやすさ
transitive,他動詞の
polling,投票
tableau,場面|画面
renunciation,放棄
chilli,チリ（唐辛子）
neuromuscular,神経筋の
mumble,もごもご言う
emitter,発信体
quid,（英国の）ポンド（俗語）
diminutive,小さい|縮小形
graphically,生々しく
whereof,そのことについて
unscrupulous,無節操な
hurtful,傷つける
sapiens,ホモ・サピエンス
morph,変形する
modulator,調節器
swab,綿棒
complacent,自己満足の
feline,ネコ科の
muck,泥|汚れ
capitalization,資本化
housekeep,家事をする
temperance,節制
conspicuously,目立って
ballistic,弾道の
gelatin,ゼラチン
electro,電気の（略）
dreadfully,ひどく
smother,窒息させる
acuity,鋭さ
gallows,絞首台
collusion,共謀
medic,医者（口語）
taxonomic,分類学の
pave,舗装する
lair,巣穴
amulet,護符
wayward,わがままな
wildfire,山火事
colloidal,コロイドの
reincarnation,転生
congenial,感じの良い
ordinal,序数の
unfriendly,敵意のある
avid,熱心な
cutting,鋭い
conundrum,難問
immovable,動かせない
poop,うんち（子供語）
manic,躁病の
numbness,麻痺
exquisitely,絶妙に
mishap,不幸な出来事
tantrum,かんしゃく
swagger,威張って歩く
logarithm,対数
hippocampal,海馬の
secularism,世俗主義
entrust,委ねる
snout,鼻先
antidepressant,抗うつ薬
brazen,ずうずうしい
downturn,景気後退
varnish,ニス
outcry,抗議の声
beige,ベージュ
jaundice,黄疸
shyness,内気
spar,スパーリング|棘
sizeable,かなりの大きさの
reasonableness,合理性
automate,自動化する
parallelism,並列性
vanguard,先駆者
willpower,意志力
easement,緩和|地役権
multiplex,多重の
metaphorically,比喩的に
cavernous,洞窟のような
trustworthiness,信頼性
rehabilitate,リハビリする
byproduct,副産物
reimburse,返済する
dimensionality,次元性
turban,ターバン
cadre,幹部
retardation,遅延
happening,出来事
postgraduate,大学院生
confound,混乱させる
elk,ヘラジカ
disarmament,軍縮
impartiality,公平
perceptive,鋭敏な
autograph,自筆署名
drowsy,眠い
conjugation,活用
dimple,えくぼ
infallible,絶対に誤らない
kingship,王権
mono,モノ（単一の）
unwell,具合が悪い
meteorological,気象の
follicular,毛包の
fait,事実（フランス語由来）
clientele,顧客層
expend,費やす
circumstantial,状況に基づく
abnormally,異常に
manipulative,操作的な
infirmity,虚弱
eccentricity,風変わりさ
complimentary,無料の|称賛の
principled,原則的な
apologetically,謝罪して
idealist,理想主義者
strangeness,奇妙さ
stamina,持久力
undefined,未定義の
taint,汚す
youngster,若者
succinctly,簡潔に
disentangle,解きほぐす
proximate,近接した
lyrical,叙情的な
nimble,敏捷な
hemorrhagic,出血性の
assort,分類する
twig,小枝
spectrometer,分光計
epidermis,表皮
mesenchymal,間葉の
pessimism,悲観主義
sugarcane,サトウキビ
communicator,伝達者
ruse,策略
reformer,改革者
inculcate,教え込む
deluge,洪水
flagship,旗艦
carbide,炭化物
gravitate,引き寄せられる
caramel,カラメル
feral,野生化した
alcove,床の間|隠れ部屋
astral,星の
polypeptide,ポリペプチド
privation,欠乏
waistband,ウエストバンド
refraction,屈折
engulf,飲み込む
scum,浮きかす
detract,損なう
despotism,専制政治
frigid,極寒の
chopper,ヘリコプター|包丁
swig,ぐいっと飲む
kayak,カヤック
kidnap,誘拐する
invisibility,不可視性
truss,トラス|支持帯
contemporaneous,同時代の
muslin,薄手の綿布
grumble,不平を言う
mercantile,商業の
gaiety,陽気さ
glucocorticoid,糖質コルチコイド
veneration,尊敬
biologic,生物学的な
untimely,時期尚早の
soundtrack,サウンドトラック
programmatic,計画的な
bootstrap,自力で立ち上がる
complementarity,補完性
